ID,Name,Date of Birth,Weight (KG),Height (CM),Locality,Nationality,Association,Wins,Losses,Draws,Last Fight
1747,Waldir dos Anjos,None,91.63,177.8,"Salvador, Bahia",Brazil,Team Ricardo Carvalho,3,10,0,2005-02-07T00:00:00
1748,Marco Selva,None,0,0,None,None,None,1,1,0,1998-02-03T00:00:00
1749,Elias Rodrigues,None,93.89,177.8,None,Brazil,None,2,3,0,1999-02-02T00:00:00
1750,Alessandro Freire,None,0,0,None,None,None,1,0,0,1998-11-01T00:00:00
1751,Amilton Cachoeira,None,0,0,None,None,None,0,1,0,1998-11-01T00:00:00
1752,Alex Cerqueira,None,0,0,None,None,None,0,1,0,1998-11-01T00:00:00
1753,Augusto Ferreira,None,0,0,None,None,None,0,1,0,1998-11-01T00:00:00
1754,Cliff Jordan,None,0,0,None,None,None,0,1,0,1995-10-28T00:00:00
1755,Johnny Huskey,None,0,0,None,None,None,0,1,0,2000-10-31T00:00:00
1756,Satoru Kitaoka,1980-02-04T00:00:00,70.31,167.64,Nara,Japan,Lotus Setagaya,40,14,9,2016-12-29T00:00:00
1757,Hiroshi Shibata,None,0,0,None,None,RJW Central,1,5,0,2005-04-04T00:00:00
1758,Takaichi Hirayama,1978-08-20T00:00:00,76.66,177.8,None,Japan,Wajutsu Keishukai RJW,8,11,6,2009-04-05T00:00:00
1759,Craig Oxley,1973-02-14T00:00:00,65.77,0,"Jacksonville, Florida",United States,None,0,3,0,2010-01-30T00:00:00
1760,Ramaz Kikalishvili,None,0,0,None,None,None,0,1,0,2000-12-04T00:00:00
1761,Darius Grilauskas,None,0,0,None,Lithuania,Titanas,1,2,0,2000-12-04T00:00:00
1762,Magomed Ismailov,None,0,0,None,None,None,1,1,0,2000-12-04T00:00:00
1763,Dain Agbayani,None,64.86,0,Hawaii,USA,808 Fight Factory,2,4,0,2003-02-08T00:00:00
1764,Cheyanne Padeken,None,0,0,"Waianae, Hawaii",United States,None,3,3,0,2000-01-18T00:00:00
1765,Paul Cutts,None,0,0,Minnesota,USA,None,4,3,0,2001-03-31T00:00:00
1766,Jeff Custead,None,66.68,0,None,None,None,0,2,0,2001-05-26T00:00:00
1767,James Zikic,1977-03-31T00:00:00,83.91,187.96,"Watford, Hertfordshire",England,London Shootfighters,21,10,2,2015-04-26T00:00:00
1768,Eric Rosano,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1769,John Upton,None,0,0,None,None,None,0,6,0,2001-11-07T00:00:00
1770,Joe Vigil,1969-12-16T00:00:00,69.85,0,"Cashlon, Arizona",USA,None,12,16,0,2008-07-26T00:00:00
1771,Van Heng,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1772,Nathan Griego,None,0,0,None,None,None,1,0,0,2001-02-22T00:00:00
1773,Edward Staples,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1774,Atticus Lish,None,0,0,None,None,None,1,1,0,2002-03-09T00:00:00
1775,Kevin Hickey,None,0,0,None,None,None,1,0,0,2001-02-22T00:00:00
1776,Robert Briggs,None,0,0,None,None,None,0,2,0,2005-06-04T00:00:00
1777,Robert Devilbliss,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1778,Mark Norcross,None,92.99,0,None,United States,None,2,3,0,2003-06-21T00:00:00
1779,Mike Rainier,None,0,0,None,None,None,2,9,0,2005-06-11T00:00:00
1780,Elvis Hinkle,None,0,0,None,None,None,0,2,0,2007-12-08T00:00:00
1781,Joseph Thompson,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1782,Richard Thompson,None,0,0,None,None,None,0,1,0,2001-02-22T00:00:00
1783,Bob Ostovich,None,83.91,0,"Honolulu, Hawaii",United States,Jesus Is Lord,5,8,0,2007-08-31T00:00:00
1784,Simon Posner,None,79.38,177.8,None,USA,AMC Pankration,1,0,1,1999-06-01T00:00:00
1785,Wayne Fisher,None,0,0,Hawaii,USA,None,4,1,0,1999-09-07T00:00:00
1786,Kevini Maumau,None,0,0,None,USA,None,1,1,0,2007-04-21T00:00:00
1787,Juha Tuhkasaari,None,0,0,None,Finland,None,1,1,0,2000-02-11T00:00:00
1788,Kazuhito Kikuchi,None,0,0,None,None,None,0,2,0,2001-02-04T00:00:00
1789,Shinya Sato,1978-10-15T00:00:00,69.85,177.8,"Yokohama, Kanagawa",Japan,P's Lab Yokohama,8,13,7,2010-07-03T00:00:00
1790,Sen Nakadai,1981-03-15T00:00:00,83.91,180.34,"Yokohama, Kanagawa",Japan,Reversal Gym Yokohama Ground Slam,6,12,3,2014-11-23T00:00:00
1791,David Davitashvili,None,0,0,None,None,None,0,2,0,2003-05-31T00:00:00
1792,Mikhail Kebedov,None,0,0,None,None,None,0,2,0,2002-01-28T00:00:00
1793,Manuel Barcenas,None,78.02,0,None,None,None,0,2,0,2001-03-24T00:00:00
1794,Jesus Salazar,None,0,0,None,None,None,0,1,0,2001-03-24T00:00:00
1795,Andy McCormick,None,68.04,0,None,None,None,1,2,0,2001-05-26T00:00:00
1796,Carlos Antillon,None,0,0,None,None,None,0,0,1,2001-03-24T00:00:00
1797,Aki Nagano,None,0,0,None,None,None,1,0,0,2001-03-24T00:00:00
1798,Juan Ayala,1977-07-01T00:00:00,72.57,180.34,"Costa Mesa, California",United States,Todd Medina's Freestyle Fight Team,3,2,0,2002-10-29T00:00:00
1799,Justin Popovich,None,0,0,None,None,None,0,2,0,2004-08-07T00:00:00
1800,Andrew Kliewer,None,0,0,None,None,None,0,1,0,2001-03-24T00:00:00
1801,Bill Rohlf,None,88.45,0,None,None,Todd Medina Freestyle Team,1,1,0,2001-05-26T00:00:00
1802,Jeremy Halferty,None,0,0,None,None,None,0,1,0,2001-03-24T00:00:00
1803,Jorge Tellez,None,0,0,None,None,None,1,1,0,2001-05-26T00:00:00
1804,Tim Credeur,1977-07-09T00:00:00,83.91,190.5,"Lafayette, Louisiana",United States,Gladiators Academy,12,4,0,2011-06-04T00:00:00
1805,Jack Austin,1970-03-16T00:00:00,136.08,182.88,"Hampton, Virginia",USA,Leininger Academy,2,4,0,2004-04-17T00:00:00
1806,Elijah Wong,None,0,0,None,None,None,0,1,0,2001-04-28T00:00:00
1807,Jason  Miller,None,92.99,182.88,Iowa,USA,None,34,25,0,2016-01-09T00:00:00
1808,Tommy Laguwans,None,0,0,None,None,None,0,1,0,2001-04-28T00:00:00
1809,Abe Andujo,None,108.41,0,None,None,Savage Te Dawg Pound,0,2,0,2001-11-07T00:00:00
1810,Mark Lewis,None,0,0,None,None,Team Red Dogs,1,1,0,2001-05-26T00:00:00
1811,Cecil Tudor,None,81.65,0,None,None,MKT Kick Boxing,0,2,0,2002-06-29T00:00:00
1812,Ben Shimono,None,0,0,None,None,None,0,1,0,2001-04-28T00:00:00
1813,Quinton Michalegko,None,70.31,0,None,None,None,0,1,0,2001-04-28T00:00:00
1814,Andy Siivola,None,0,0,None,None,None,1,1,0,2001-06-22T00:00:00
1815,James Meals,1982-07-27T00:00:00,77.56,172.72,None,United States,Carbajal's 9th Street Gym,6,19,0,2011-02-05T00:00:00
1816,Shawn Collum,None,75.3,0,None,None,None,0,1,0,2001-04-28T00:00:00
1817,Marino Jones,None,80.74,0,None,None,Laurita BJJ,1,0,0,2001-04-28T00:00:00
1818,Jerry Chi,None,81.19,0,None,None,Brausa Academy,0,1,0,2001-04-28T00:00:00
1819,Justin Timmons,None,0,0,None,None,None,2,0,0,2001-05-26T00:00:00
1820,Michael Simpson,None,112.49,0,None,None,None,0,1,0,2001-04-28T00:00:00
1821,John Buchanan,None,102.97,0,None,None,None,1,0,0,2001-04-28T00:00:00
1822,Dan Pleasure,None,111.13,0,None,None,None,0,1,0,2001-04-28T00:00:00
1823,Jimmy Ambriz,1977-03-20T00:00:00,136.53,182.88,"Santa Ana, California",United States,None,17,20,1,2016-09-09T00:00:00
1824,Seiki Ryo,1976-10-21T00:00:00,76.66,182.88,"Ninomiya, Tochigi",Japan,Stand,9,9,3,2012-09-01T00:00:00
1825,Junya Miyakawa,1979-11-10T00:00:00,78.02,167.64,Ibaraki,Japan,PANCRASEism,0,1,2,2001-12-16T00:00:00
1826,Hiroki Nagaoka,1980-03-04T00:00:00,70.31,170.18,Tokyo,Japan,Dobuita,24,21,12,2016-11-13T00:00:00
1827,Hideaki Iwasaki,1980-03-01T00:00:00,72.57,172.72,Tokyo,Japan,Strapple,3,5,1,2003-11-19T00:00:00
1828,Hajime Ubukata,None,0,0,None,None,None,0,1,0,2001-05-05T00:00:00
1829,Kazuo Misaki,1976-04-25T00:00:00,77.11,177.8,"Chiba City, Chiba",Japan,Haleo Top Team,25,11,2,2012-03-03T00:00:00
1830,Kenichi Serizawa,1969-11-21T00:00:00,76.66,180.34,None,Japan,Wajutsu Keishukai Suruga,10,6,3,2011-07-31T00:00:00
1831,Ryo Chonan,1976-10-08T00:00:00,76.66,175.26,None,Japan,Tribe Tokyo MMA,22,13,0,2013-10-20T00:00:00
1832,Shamir Maromegob,None,0,0,None,Russia,None,1,1,0,2001-02-08T00:00:00
1833,Lopes Moreno,None,0,0,None,None,None,0,1,0,2001-02-08T00:00:00
1834,Antonio Tello,1978-02-04T00:00:00,83.46,0,Valencia,Spain,Alianza MMA,7,2,0,2010-04-17T00:00:00
1835,Khaled Mubarak,None,0,0,None,None,None,0,1,0,2001-02-08T00:00:00
1836,Karimula Barkalaev,None,90.72,187.96,Dagestan,Georgia,None,11,1,0,2001-02-08T00:00:00
1837,Dersu Lerma,1979-06-11T00:00:00,71.67,0,Valencia,Spain,Alianza MMA,0,1,0,2001-02-08T00:00:00
1838,Allen Peralta,None,68.04,0,None,Guam,None,1,0,0,1999-11-05T00:00:00
1839,Mark Cruz,None,58.97,0,None,Guam,None,0,2,0,2000-10-26T00:00:00
1840,David Farnum,None,72.57,0,None,Guam,None,1,2,0,2000-10-26T00:00:00
1841,Skip McNeil,None,84.82,0,"Summer, Washington",USA,None,0,1,0,1999-11-05T00:00:00
1842,Josh Hoover,1976-08-24T00:00:00,94.8,182.88,None,Guam,Purebred Guam,0,2,0,2001-05-21T00:00:00
1843,Manny Chong,None,98.88,0,"Guam, Northern Mariana Islands",United States,Thug Cop Fight Club,8,9,0,2011-12-16T00:00:00
1844,Rhett Anthony,1976-09-12T00:00:00,75.75,0,Sydney,Australia,Spartan Gym,0,4,1,2003-07-26T00:00:00
1845,Chris Kirby,None,76.66,175.26,"Mermaid Beach, Queensland",Australia,Five Rings Dojo,0,1,0,1999-11-05T00:00:00
1846,Dennis Taddio,None,106.14,170.18,Hawaii,United States,Grappling Unlimited,0,4,0,2001-12-15T00:00:00
1847,Darrel Decker,None,0,0,None,None,None,2,1,0,1999-08-21T00:00:00
1848,Pat Ryan,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1849,Brandon Shuey,1976-02-01T00:00:00,65.77,170.18,"Boise, Idaho",USA,Team Hardcore,7,6,0,2008-04-26T00:00:00
1850,Mike Mendoza,None,0,0,None,None,None,3,0,0,2003-06-14T00:00:00
1851,Gary Young,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1852,Carley Anderson,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1853,Tim McQuinty,None,0,0,None,None,None,2,1,0,1999-07-10T00:00:00
1854,Mike Papa,None,0,0,None,None,None,1,0,0,1999-04-07T00:00:00
1855,Doug Check,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1856,John Brennan,None,0,0,None,None,None,1,2,0,1999-07-10T00:00:00
1857,Jared Thomas,None,0,0,None,None,None,1,0,0,1999-04-07T00:00:00
1858,Matt Marriot,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1859,Ronnie Michaels,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1860,Jovan Isailovic,None,0,0,None,None,None,1,0,0,1999-04-07T00:00:00
1861,Martin Escobat,None,0,0,None,None,None,1,1,0,1999-04-07T00:00:00
1862,Ron Robeson,None,0,0,None,None,None,0,1,0,1999-04-07T00:00:00
1863,Adam Rasner,None,0,0,None,None,None,0,1,0,1999-05-26T00:00:00
1864,Ryan Narte,1978-07-04T00:00:00,74.84,177.8,None,None,Primal Tribe Fighting Club,1,4,0,2006-10-07T00:00:00
1865,Mark Salvato,None,0,0,None,None,None,1,0,0,1999-05-26T00:00:00
1866,Tex Virnig,None,0,0,None,None,None,0,2,0,2001-09-08T00:00:00
1867,Albert Latham,None,0,0,None,None,None,0,1,0,1999-05-26T00:00:00
1868,Sonny Michaels,None,0,0,None,None,None,0,1,0,1999-05-26T00:00:00
1869,Dan Faqur,None,0,0,None,None,None,1,0,0,1999-05-26T00:00:00
1870,Andrei Semenov,1977-06-17T00:00:00,83.91,182.88,St. Petersburg,Russia,None,34,9,2,2013-10-20T00:00:00
1871,Goksel Sahinbas,None,0,0,None,Holland,Jurojin,3,5,1,2001-05-27T00:00:00
1872,Vadim Kuvatov,None,0,0,None,Russia,None,3,1,0,2000-04-28T00:00:00
1873,Habib Ben Sallah,None,0,0,None,Holland,None,2,1,1,2006-03-11T00:00:00
1874,Eugeney Lyamin,None,0,0,None,Russia,None,4,1,0,2002-04-26T00:00:00
1875,Marco Holkamp,None,0,0,None,None,None,3,5,0,2003-10-19T00:00:00
1876,Can Sahinbas,None,0,0,None,Holland,Jurojin,5,4,0,2002-06-23T00:00:00
1877,Ron Verdadero,None,84.82,0,Hawaii,USA,Jesus Is Lord,5,9,0,2010-08-06T00:00:00
1878,Charlie Pearson,1971-01-23T00:00:00,68.04,170.18,Washington,United States,None,11,4,3,2003-07-12T00:00:00
1879,Abe Rodriguez,None,70.31,170.18,Hawaii,United States,Grappling Unlimited,5,2,0,2002-06-07T00:00:00
1880,Justin Williams,None,0,0,None,USA,Inosanto Academy,0,1,0,2000-04-15T00:00:00
1881,Auggie Padeken,None,92.99,185.42,"Waianae, Hawaii",United States,None,6,9,0,2009-01-03T00:00:00
1882,David Yeung,None,69.85,0,None,USA,HMC,5,3,1,2006-02-25T00:00:00
1883,Kaleo Padilla,None,83.91,0,"Kona, Hawaii",United States,Kona Boxing Club,3,8,0,2011-04-09T00:00:00
1884,Anthony Torres,1978-07-31T00:00:00,77.11,177.8,"Kailua, Hawaii",United States,MMA Development,5,3,0,2013-08-09T00:00:00
1885,Seiji Ozuka,1978-10-07T00:00:00,52.16,162.56,"Mito, Ibaraki",Japan,Freedom@Oz,16,12,7,2016-12-18T00:00:00
1886,Saulo Ribeiro,None,81.65,177.8,Rio de Janeiro,Brazil,University of Jiu Jitsu,2,1,0,2002-09-21T00:00:00
1887,Wess Brown,None,0,0,None,None,None,0,1,0,1999-07-10T00:00:00
1888,Brett Varnell,None,0,0,None,None,None,0,1,0,1999-07-10T00:00:00
1889,Tom Johnson,None,65.32,0,None,None,None,0,1,0,1999-07-10T00:00:00
1890,Forest Tllutos,None,0,0,None,None,None,2,0,0,2002-05-03T00:00:00
1891,Anthony Maynard,None,0,0,None,None,None,0,1,0,1999-07-10T00:00:00
1892,Fernando Pena,None,0,0,None,None,None,0,2,0,1999-08-21T00:00:00
1893,Steve Shaw,None,0,0,None,None,None,0,1,0,1999-07-10T00:00:00
1894,Lilly San Diego,None,0,0,None,None,None,0,1,0,1999-07-10T00:00:00
1895,Beto Barnal,None,0,0,None,None,None,1,0,0,1999-08-21T00:00:00
1896,Koji Lierman,None,0,0,None,None,None,0,1,0,1997-03-16T00:00:00
1897,John Demarco,None,0,0,None,None,None,0,1,0,1999-08-21T00:00:00
1899,Nino George,None,0,0,None,None,None,0,1,0,1999-08-21T00:00:00
1900,Daniel Sprinkle,None,0,0,None,None,None,1,0,0,1999-08-21T00:00:00
1901,Steve Hoculi,None,0,0,None,None,None,0,1,0,1999-08-21T00:00:00
1902,Mark Senior,None,0,0,None,None,None,0,1,0,1999-08-21T00:00:00
1903,Dmitry Beyer,None,0,0,None,None,None,1,2,1,2000-03-17T00:00:00
1904,Zack Welker,None,0,0,None,None,None,1,1,0,2000-09-08T00:00:00
1905,Rod Ferris,None,0,0,None,None,None,0,2,0,2007-04-14T00:00:00
1906,Jason Strandberg,None,70.31,175.26,None,None,None,5,0,0,1999-10-24T00:00:00
1907,Joshua Taibl,None,0,0,None,None,None,3,15,0,2015-05-16T00:00:00
1908,Ken Coleman,None,0,0,None,None,None,1,2,0,2000-02-26T00:00:00
1909,Omar Shaikh,None,0,0,None,None,None,2,2,0,2001-09-29T00:00:00
1910,Kai Hansen,None,0,0,None,None,None,3,2,0,2000-09-16T00:00:00
1911,Greg Franklin,None,0,0,"Cincinnati, Ohio",USA,None,1,4,0,2005-09-17T00:00:00
1912,Cedric Stewart,None,70.31,172.72,"Springfield, Illinios",United States,None,9,9,2,2004-07-24T00:00:00
1913,Tom Ansell,None,90.72,182.88,None,None,None,0,3,0,2000-05-21T00:00:00
1914,Eric Pettit,None,0,0,None,None,None,2,2,0,2001-06-16T00:00:00
1915,Tim Wills,None,0,0,None,None,None,0,18,0,2009-01-24T00:00:00
1916,Roberto Ramirez,None,92.99,177.8,"Chicago, Illinios",United States,None,2,14,0,2007-09-15T00:00:00
1917,Pat Bullar,None,0,0,None,None,None,0,2,0,2001-08-18T00:00:00
1918,Cedric Marks,1974-07-15T00:00:00,75.75,180.34,"Bremerton, Washington",United States,None,30,25,0,2014-09-27T00:00:00
1919,Gary Hughes,None,0,0,None,None,None,0,1,0,2000-06-29T00:00:00
1920,Joe Guist,None,0,0,None,None,None,0,2,0,2000-07-19T00:00:00
1921,Preston Hartzog,None,0,0,None,None,None,1,0,0,2000-11-14T00:00:00
1922,Jacob Vela,None,0,0,None,None,None,1,3,0,2003-04-17T00:00:00
1923,Drew Irion,None,72.57,177.8,None,None,None,3,1,0,2000-11-14T00:00:00
1924,Ido Pariente,1977-08-31T00:00:00,70.31,170.18,Tel Aviv,Israel,Pariente Academy,13,6,0,2012-07-21T00:00:00
1925,Dylan Norris,None,0,0,None,None,None,0,1,0,2000-11-16T00:00:00
1926,Justin James,None,70.31,177.8,Nebraska,USA,None,13,7,0,2007-03-31T00:00:00
1927,Jason Brilz,1975-07-07T00:00:00,92.99,180.34,"Omaha, Nebraska",United States,Elite Performance,22,6,1,2014-09-26T00:00:00
1928,Gary Hicks,None,0,0,None,None,None,0,1,0,2000-11-16T00:00:00
1929,Cory Coles,None,68.04,0,"Winnipeg, Manitoba",Canada,None,1,0,0,2000-11-16T00:00:00
1930,Vito Agosta,None,65.77,160.02,"Omaha, Nebraska",United States,None,5,3,0,2012-04-13T00:00:00
1931,Don McClain,None,95.25,187.96,None,None,None,5,1,0,2001-12-29T00:00:00
1932,Mike Radnov,None,0,0,None,None,None,5,4,0,2007-10-06T00:00:00
1933,Luiz Claudio Nunes,None,0,0,None,Brazil,None,5,1,0,1998-11-01T00:00:00
1934,Edson Carvalho,None,86.64,182.88,Salvador,Brazil,Team Carvalho,4,2,0,2005-12-03T00:00:00
1935,Maxim Tarasov,None,90.72,0,None,Russia,None,15,4,0,2000-04-29T00:00:00
1936,Elias Carrasco,None,92.99,0,None,Brazil,None,0,2,0,2015-04-25T00:00:00
1937,Andre Siqueira,None,0,0,None,Brazil,None,0,3,0,2001-06-09T00:00:00
1938,Magomed Mirzamagomedov,None,0,0,None,Russia,None,2,2,0,1999-05-01T00:00:00
1939,Mikhail Avetisyan,1974-04-09T00:00:00,104.33,182.88,None,Russia,None,17,5,0,2003-09-06T00:00:00
1940,Ayla Kravkova,None,0,0,None,Latvia,None,0,1,0,2001-05-27T00:00:00
1941,Kavkaz Sultanmagomedov,None,94.8,185.42,None,Russia,RusFighters Sport Club,7,3,0,2004-06-27T00:00:00
1942,Douglas    Silva,None,0,0,None,Brazil,None,0,3,0,2005-02-07T00:00:00
1943,Alexander Rafalski,None,0,0,None,Russia,None,0,1,0,1996-11-22T00:00:00
1944,Yasunori Matsumoto,None,0,0,None,Japan,None,5,4,1,1997-10-12T00:00:00
1945,Andrey Dudko,None,0,0,None,Russia,None,0,2,0,1996-11-22T00:00:00
1946,Aleksander Khramstovskly,None,0,0,None,Russia,None,0,1,0,1996-11-22T00:00:00
1947,Sergei Sousserov,None,0,0,None,Russia,None,0,1,0,1997-02-02T00:00:00
1948,Fabio Piamonte,None,92.53,0,"Curitiba, Parana",Brazil,None,2,2,0,2006-02-04T00:00:00
1949,Jimmy Westfall,None,111.13,187.96,"El Paso, Texas",United States,None,5,9,0,2007-10-13T00:00:00
1950,Mario Neto,None,103.87,182.88,"Joao Pessoa, Paraiba",Brazil,Mario Sukata Team,13,5,0,2011-12-15T00:00:00
1951,Stefanos Miltsakakis,None,99.79,0,None,Greece,None,3,0,0,2005-07-28T00:00:00
1952,Josh Sursa,None,0,0,Texas,USA,None,4,2,0,1999-12-04T00:00:00
1954,Chico Martinez,None,0,0,None,Netherlands,None,11,16,2,2009-11-15T00:00:00
1955,Erin Toughill,1977-06-13T00:00:00,73.03,177.8,"Huntington Beach, California",United States,None,10,3,1,2011-04-09T00:00:00
1956,Karo Davtyan,None,0,0,None,None,None,0,1,0,1997-02-24T00:00:00
1957,Gokor Chivichyan,1963-05-10T00:00:00,83.91,177.8,"North Hollywood, California",United States,Team Hayastan,1,0,0,1997-02-24T00:00:00
1958,Bill Maeda,None,99.79,187.96,"Honolulu, Hawaii",United States,None,0,1,0,1997-02-24T00:00:00
1959,Davin Wright,None,0,0,None,USA,None,0,1,0,1997-02-24T00:00:00
1960,Steve Seddon,None,0,0,None,USA,None,0,1,0,1997-02-24T00:00:00
1961,Jalmir Ferreira,None,93.89,170.18,None,Brazil,None,3,3,0,2005-06-16T00:00:00
1962,Roni Rustico,None,79.83,0,None,Brazil,None,1,0,0,1997-09-27T00:00:00
1963,Jose Henrique,None,78.93,0,None,Brazil,None,0,1,0,1997-09-27T00:00:00
1964,Sean Alvarez,1971-07-14T00:00:00,106.59,182.88,New York,USA,Renzo Gracie Jiu-Jitsu,4,3,0,2003-04-25T00:00:00
1965,Sergio Muralha,None,119.75,0,None,Brazil,None,1,1,0,1998-05-10T00:00:00
1966,Crezio de Souza,None,0,0,None,Brazil,Carlson Gracie Jiu-Jitsu,1,2,0,1997-06-15T00:00:00
1967,Silvio Vieira,None,0,0,None,Brazil,None,5,11,1,2007-06-14T00:00:00
1968,Eric Smith,None,0,0,Ohio,USA,Hammer House,1,1,0,1997-06-15T00:00:00
1969,Paulao Paulao,None,0,0,None,Brazil,None,0,2,0,2011-06-18T00:00:00
1970,Gustavo Homem de Neve,None,0,0,None,Brazil,None,0,3,0,2004-03-13T00:00:00
1971,Fabiano Lopes,None,0,0,None,Brazil,None,1,1,0,2003-04-02T00:00:00
1973,Silvio Zimmerman,None,92.99,0,None,Netherlands,None,0,2,0,2011-04-09T00:00:00
1974,Astravroslakis Astravroslakis,None,0,0,None,Greece,None,0,1,0,1999-07-01T00:00:00
1975,Michailis Deligiannakis,None,0,0,None,Greece,Free Fight Greece,2,3,0,2011-05-29T00:00:00
1976,Erwin van den Steen,None,0,0,None,Holland,None,0,3,0,1999-07-01T00:00:00
1977,Antonio Carlos Ribeiro,None,0,0,None,Brazil,None,3,2,0,2000-07-24T00:00:00
1978,Luiz Firmino,1982-03-18T00:00:00,70.31,172.72,"Joao Pessoa, Paraiba",Brazil,Blackzilians,19,8,0,2016-12-31T00:00:00
1979,Reginaldo Santana,None,0,0,None,Brazil,None,0,3,0,2001-06-09T00:00:00
1980,Antonio Conceicao,None,0,0,None,Brazil,Force Jiu-Jitsu,3,7,0,2009-12-12T00:00:00
1981,Marcelo Belmiro,None,0,0,None,Brazil,None,2,2,0,2000-07-24T00:00:00
1982,Sergei Zavadsky,None,0,0,None,Russia,None,3,9,0,2001-12-27T00:00:00
1983,Eli Soares,None,0,0,None,Brazil,None,5,1,0,2003-10-10T00:00:00
1984,Luis Oliveira,None,74.84,175.26,None,Brazil,None,1,2,0,2000-05-27T00:00:00
1985,Bertrand Amoussou,None,89.81,177.8,None,France,None,1,1,0,2004-05-23T00:00:00
1986,Bunsimma Roong,None,83.91,180.34,None,Thailand,None,1,0,0,1995-12-01T00:00:00
1987,Seiji Yamakawa,None,79.83,175.26,None,Japan,None,0,1,0,1995-12-01T00:00:00
1988,Scott Bigelow,1961-09-01T00:00:00,147.42,187.96,"Asbury Park, New Jersey",United States,None,0,1,0,1996-11-17T00:00:00
1989,Mitsuhiro Matsunaga,None,0,0,None,Japan,None,0,1,0,1996-11-17T00:00:00
1990,Katsumi Usuta,None,83.01,172.72,None,Japan,None,1,3,0,2002-09-07T00:00:00
1991,Becky Levi,None,97.52,182.88,"Tucscon, Arizona",United States,None,7,1,0,2000-12-05T00:00:00
1992,Yoko Takahashi,1973-04-20T00:00:00,68.04,172.72,Hokkaido,Japan,Tomoegumi,15,12,2,2010-04-24T00:00:00
1993,Alaor Soares,None,0,0,None,Brazil,None,0,1,0,2000-05-27T00:00:00
1994,Fabricio Santos Pereira,None,0,0,None,Brazil,None,3,2,0,2012-12-01T00:00:00
1995,Amar Suloev,1976-07-01T00:00:00,83.91,175.26,Kalinin City,Armenia,Red Devil Sport Club,24,7,0,2008-04-03T00:00:00
1996,Luis  Alberto,None,93.89,180.34,Paraiba,Brazil,Leao Team,1,7,0,2011-04-12T00:00:00
1997,Alberto Prima,None,0,0,None,Brazil,None,0,2,0,2000-05-27T00:00:00
1998,Martin Malkhasyan,None,99.79,0,Anapa,Russia,Legion Fight Team,25,8,1,2007-06-02T00:00:00
1999,Sean Coultas,None,0,0,None,USA,None,3,1,1,1999-10-24T00:00:00
2000,Jason Walls,None,67.59,180.34,Indiana,USA,None,8,1,0,2000-06-10T00:00:00
2001,Jay Oppenheim,None,0,0,"Pittsburgh, Pennsylvania",USA,None,0,2,0,1998-06-12T00:00:00
2002,Russ Paxson,None,68.04,167.64,Indiana,USA,None,3,2,1,1998-06-12T00:00:00
2003,Wes Collins,None,0,0,Indiana,USA,None,5,1,1,1999-06-12T00:00:00
2004,Tony Malatich,None,0,0,"Monroe, Michigan",USA,None,0,1,0,1997-04-04T00:00:00
2005,Duane Bressinger,None,0,0,"Pittsburgh, Pennsylvania",USA,None,0,1,2,1997-04-04T00:00:00
2006,Adam Fisher,None,0,0,None,USA,None,0,3,0,1997-09-20T00:00:00
2007,Dieuseul Berto,1960-07-16T00:00:00,90.72,175.26,"Winter Haven, Florida",United States,Tiger's World of Martial Arts,0,3,0,2001-11-17T00:00:00
2008,Dennis Kefalinos,None,0,0,None,None,None,0,2,0,1999-03-07T00:00:00
2009,Akira Nagase,None,0,0,None,Japan,None,0,1,0,1996-04-05T00:00:00
2010,Michael Stam,None,0,0,None,USA,None,1,1,0,1996-04-05T00:00:00
2011,Marcelo Mendes,None,0,0,None,Brazil,None,0,2,0,1996-04-05T00:00:00
2012,Adilson Lima,None,89.81,175.26,None,Brazil,Renzo Gracie Jiu-Jitsu,5,2,0,1997-07-07T00:00:00
2013,Indio Rodrigues,None,79.83,170.18,None,Brazil,None,0,2,0,2010-10-17T00:00:00
2014,Adolfo de la Rosa,None,79.83,185.42,None,Brazil,None,0,1,0,1996-06-24T00:00:00
2015,Ivan Lee,1976-07-16T00:00:00,59.87,160.02,None,Canada,None,1,1,0,1996-08-01T00:00:00
2016,Hiroshi Oyaizu,None,69.85,172.72,None,Japan,Harajuku Dojo,0,4,2,2007-02-04T00:00:00
2017,Manabu Ohara,None,89.81,170.18,None,Japan,Koppo,1,1,1,1996-11-30T00:00:00
2018,Cristiano Franca,None,0,0,None,Brazil,None,1,2,0,1998-02-25T00:00:00
2019,Mauro Bernardo,None,0,0,None,Brazil,None,1,2,0,1998-02-25T00:00:00
2021,Douglas Aquino,None,61.23,0,"Lorena, Sao Paulo",Brazil,Vida Ativa,0,5,0,2012-06-23T00:00:00
