Name,Nickname,Wins,Losses,Draws,No Contests,Height (in.),Weight (lbs),Reach (in.),Stance,Birth Date,Sig. Strikes landed/min,strike acc. (%),Sig Strikes taken/min,Strike def. (%),TD/15 min,TD acc. (%),TD def. (%),sub/15 min
Edwin Figueroa,El Feroz,9,4,0,,67,135,69,Orthodox,1984-07-31,2.57,39,3.06,51,0.20,100,37,0.6
Paulo Filho,,22,4,2,,68,185,,Southpaw,1978-05-24,1.86,48,1.67,66,2.40,32,42,1.6
Andre Fili,Touchy,16,4,0,,71,145,74,Orthodox,1990-06-25,3.38,38,2.55,60,2.85,46,58,0.2
Mirko Cro Cop,Cro Cop,31,11,2,1,74,230,73,Southpaw,1974-09-10,2.11,50,1.89,63,0.19,40,78,0.3
Brady Fink,,2,3,0,,72,183,,Orthodox,,1.69,41,1.69,61,3.63,25,0,3.6
Jesse Finney,,6,1,0,,72,170,,,1974-07-11,0.00,0,0.00,0,0.00,0,0,0.0
Jan Finney,Cuddles,8,10,0,,68,135,,Orthodox,,2.16,28,8.75,42,0.77,11,25,0.0
Luigi Fioravanti,,22,11,0,,68,170,70,Orthodox,1981-01-22,2.23,42,2.21,69,3.76,63,67,0.9
Luiz Firmino,Buscape,13,6,0,,66,154,,Orthodox,1982-03-18,1.23,50,1.22,51,3.86,45,20,0.9
Spencer Fisher,The King,25,9,0,,67,155,70,Southpaw,1976-05-09,3.17,43,3.03,64,0.67,30,60,0.8
Bryanna Fissori,,2,0,0,,64,145,,,,1.40,46,1.20,57,2.00,25,50,0.0
Jon Fitch,,27,5,1,1,72,170,76,Orthodox,1978-02-24,2.61,50,1.65,54,3.60,51,56,0.8
Colin Fletcher,The Freakshow,9,3,0,,74,155,78,Orthodox,1983-01-08,3.10,34,2.97,62,0.00,0,27,0.0
Jose Flores,,4,0,0,,73,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Kenny Florian,KenFlo,14,6,0,,70,145,74,Southpaw,1976-05-26,2.41,40,1.85,63,2.22,33,60,1.3
Cody Floyd,,2,0,0,,,,,,1988-07-18,0.00,0,0.00,0,0.00,0,0,0.0
Bobby Flynn,,4,3,0,,,170,,,,0.38,25,0.77,0,0.00,0,0,0.0
Caros Fodor,The Future,7,3,0,,69,155,76,Orthodox,1984-01-07,2.76,54,2.83,54,2.10,25,50,0.0
Mal Foki,Twin Tiger,5,5,0,,67,220,,Orthodox,,2.86,14,14.29,54,0.00,0,0,0.0
Matt Foki,Twin Tiger,5,4,0,1,67,220,,Orthodox,,0.00,0,3.37,56,0.00,0,0,0.0
AJ Fonseca,,5,4,0,,64,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Rob Font,,13,2,0,,68,135,71,Orthodox,1987-06-25,4.29,46,3.93,63,0.99,22,33,0.5
Claudionor Fontinelle,,9,13,1,,65,185,,Orthodox,,2.62,42,10.25,28,0.00,0,0,0.0
Jesse Forbes,Kid Hercules,15,5,0,,74,185,75,Southpaw,1984-10-24,2.11,24,4.06,53,1.79,75,66,1.2
Sterling Ford,,13,5,0,,70,155,,,1986-03-12,0.00,0,0.00,0,0.00,0,0,0.0
Codale Ford,Crunch Time,11,8,0,,69,170,,,1979-05-13,0.00,0,0.00,0,0.00,0,0,0.0
Renee Forte,,8,4,0,,67,155,71,Orthodox,1987-03-27,2.08,32,2.12,63,2.32,58,66,0.0
Marcel Fortuna,Maozinha,9,1,0,,73,220,74,Orthodox,1985-10-22,4.74,50,4.42,62,0.00,0,0,0.0
Brian Foster,The Foster Boy,18,5,0,,69,170,71,Orthodox,1984-04-03,3.30,39,1.63,65,3.67,60,37,1.8
Xavier Foupa-Pokam,Professor X,21,16,0,,73,185,,Open Stance,1982-07-03,1.47,43,2.50,49,0.00,0,16,0.0
Mason Fowler,,2,0,0,,71,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Brandon Foxworth,,18,4,0,,71,145,,Orthodox,1979-04-28,1.33,32,4.59,50,0.00,0,0,0.0
Hermes Franca,,22,12,0,1,66,155,71,Orthodox,1974-08-26,1.78,39,2.85,55,1.53,36,37,2.4
Glaico Franca,Nego,14,5,0,,72,155,77,,1991-02-28,2.35,42,3.46,47,2.68,42,76,0.3
Francisco France,Kiko,7,3,0,,72,205,,,1983-01-21,0.00,0,0.00,0,0.00,0,0,0.0
John Franchi,,6,2,0,,66,145,67,Orthodox,1982-07-16,1.83,48,2.59,48,2.68,80,40,0.3
Rich Franklin,Ace,29,7,0,1,73,185,75,Southpaw,1974-10-05,4.10,44,2.07,62,1.31,66,63,0.7
Zoila Frausto,Warrior Princess,11,1,0,,64,135,,Orthodox,,0.77,31,1.64,53,0.00,0,57,0.0
Zane Frazier,Nasty,4,11,0,,77,250,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Gary Frazier,,1,2,0,,72,245,,Orthodox,,1.50,39,2.77,46,0.00,0,100,0.0
Ian Freeman,The Machine,19,7,1,,71,225,,Orthodox,1966-11-10,2.54,48,3.11,44,1.44,40,80,0.7
Jason Freeman,,6,4,0,1,74,225,,,1976-09-02,0.00,0,0.00,0,0.00,0,0,0.0
Willamy Freire,Chiquerim,19,5,0,,68,155,,,1987-07-28,1.53,37,0.93,62,0.50,100,73,0.0
Patricio Freire,Pitbull,24,3,0,,65,145,65,,1987-07-07,2.84,41,4.43,60,0.60,18,94,0.6
Patricky Freire,Pitbull,15,7,0,,67,155,71,,1986-06-01,3.13,44,3.80,69,1.50,33,100,0.0
Rafael Freitas,Capoeira,4,6,0,1,,205,,Orthodox,,2.00,29,8.00,51,11.25,50,0,0.0
Clay French,,19,6,0,,67,161,,Southpaw,1980-10-07,1.52,50,1.27,16,0.00,0,100,0.0
Mike French,,8,9,0,,70,145,,,1975-05-29,0.23,23,2.17,42,0.00,0,22,1.0
Don Frye,The Predator,20,9,1,1,73,219,,Orthodox,1965-11-23,2.87,64,3.57,37,0.91,57,45,0.7
Tony Fryklund,The Freak,14,9,1,,72,185,,Orthodox,1971-03-26,3.49,39,6.50,43,0.00,0,66,0.5
Jesse Fujarczyk,The Ronin,3,2,0,,76,225,,Southpaw,1983-01-28,1.03,33,4.91,38,0.00,0,25,0.0
Katsuhisa Fujii,Shamoji,9,18,1,,72,205,,Orthodox,1972-08-15,4.00,50,4.43,64,2.14,25,50,2.1
Megumi Fujii,Mega Megu,26,3,0,,63,113,,,1974-04-26,2.40,42,0.00,100,0.00,0,0,12.0
Kazuyuki Fujita,Ironhead,15,9,0,,72,235,,Orthodox,1970-10-16,1.05,49,1.99,52,2.78,36,85,0.6
Keisuke Fujiwara,,11,4,4,,66,139,,Switch,,0.73,44,1.20,47,0.00,0,23,2.5
Riki Fukuda,,19,7,0,,72,185,73,Southpaw,1981-01-06,4.24,43,3.71,64,2.17,43,70,0.0
Masio Fullen,Lobo,10,6,0,,70,145,70,Orthodox,1986-10-06,2.46,32,3.50,54,0.47,33,69,0.0
Travis Fulton,The Ironman,127,49,10,1,72,240,,Orthodox,1977-05-29,0.00,0,0.00,0,0.00,0,0,0.0
Sam Fulton,,0,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Masakatsu Funaki,,39,13,1,,72,185,,Southpaw,1969-03-13,1.82,68,2.92,35,0.00,0,0,5.5
Ricardo Funch,Golden Boy,8,4,0,,70,170,76,Southpaw,1980-08-14,2.61,65,3.57,40,1.24,18,60,0.0
Katsuaki Furuki,,1,1,0,,72,168,,,1980-11-10,0.27,10,2.67,39,0.00,0,0,3.0
James Gabert,,6,4,0,,,178,,,,0.00,0,0.00,0,0.00,0,0,0.0
Claudia Gadelha,Claudinha,14,2,0,,64,115,63,Orthodox,1988-12-07,3.59,42,3.94,60,4.59,57,83,0.7
Alavutdin Gadjiev,,18,12,1,,74,185,,Orthodox,1982-06-23,0.99,27,0.99,57,0.00,0,50,0.0
Sheila Gaff,The German Tank,10,6,1,,65,135,62,Orthodox,1989-12-29,1.60,50,2.89,28,0.00,0,20,0.0
Mitch Gagnon,,12,4,0,,65,135,65,Southpaw,1984-10-10,3.18,48,2.13,63,1.43,26,67,1.9
Brandon Gaines,,5,16,0,,75,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Travis Galbraith,The Gladiator,18,7,0,,72,170,,Orthodox,1981-05-18,2.21,40,3.45,48,1.33,25,0,1.3
Dave Galera,Scarecrow,5,1,0,,71,135,,Orthodox,1978-01-12,1.67,69,0.53,33,0.00,0,14,2.0
Zelg Galesic,Benkei,10,6,0,,74,185,,Orthodox,1979-02-16,4.86,62,0.61,66,1.30,100,20,1.3
Mickey Gall,,4,0,0,,74,170,74,Switch,1992-01-22,3.21,57,1.66,46,4.66,100,100,9.3
Daniel Gallemore,Big Kansas,4,3,0,,77,265,,,,3.10,41,6.00,52,0.00,0,0,0.0
Turrell Galloway,,5,2,0,,63,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Eric Galvan,,0,0,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Andre Galvao,,5,2,0,,67,168,,Orthodox,1982-09-29,2.34,52,1.56,58,2.02,27,0,2.8
Marcos Galvao,Louro,11,5,1,,67,135,,Orthodox,1981-06-23,1.97,32,3.86,61,2.27,28,88,1.1
Lucas Gamaza,,5,2,0,,,170,,,,7.57,31,6.99,45,0.00,0,0,0.0
Joey Gambino,The Raging Warrior,9,2,0,,67,145,,Orthodox,1988-10-26,2.47,35,2.53,51,0.00,0,42,0.8
Manvel Gamburyan,The Anvil,18,11,0,1,65,135,67,Orthodox,1981-05-08,2.13,41,2.83,55,3.26,34,69,0.7
Ariel Gandulla,,6,6,0,1,71,205,,Orthodox,1968-05-07,1.95,23,2.07,72,1.88,66,0,0.0
Sean Gannon,The Cannon,2,1,0,,75,265,,Southpaw,,0.00,0,6.38,28,0.00,0,50,0.0
Cody Garbrandt,No Love,11,0,0,,68,135,65,Orthodox,1991-07-07,3.58,37,3.04,68,1.19,38,100,0.0
Leonard Garcia,Bad Boy,19,11,1,,70,145,69,Orthodox,1979-07-14,2.77,24,4.79,52,0.30,26,42,0.5
Edgar Garcia,,14,5,0,,70,170,71,Orthodox,1984-02-22,3.16,29,4.23,60,2.21,57,50,0.6
Alejandro Garcia,Alex,14,5,0,,67,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Alex Garcia,The Dominican Nightmare,14,3,0,,69,170,72,Orthodox,1987-07-14,2.14,35,3.23,61,4.71,62,55,0.0
Nick Garcia,Nitro,8,3,0,1,64,125,,,,0.67,25,3.03,50,0.00,0,83,5.1
Steve Garcia,Mean Machine,6,0,0,,72,135,,,1992-05-22,6.22,64,2.61,40,0.00,0,100,0.0
Rulon Gardner,,1,0,0,,75,265,,Orthodox,1971-08-16,2.05,25,1.45,60,0.75,100,100,0.0
David Gardner,,18,19,0,,71,155,,Orthodox,1977-05-17,0.17,100,0.34,0,0.00,0,66,0.0
Pablo Garza,The Scarecrow,13,4,0,,73,145,73,Orthodox,1983-09-16,3.37,44,2.70,50,0.94,25,15,1.3
Azamat Gashimov,,10,3,0,,66,125,66,Orthodox,1990-04-07,1.24,21,4.75,53,1.69,25,0,0.0
Brian Gassaway,,29,20,2,1,73,170,,Orthodox,1972-08-07,0.34,26,3.65,44,0.00,0,42,0.0
Kelvin Gastelum,,14,2,0,,69,185,71,Southpaw,1991-10-24,3.99,43,2.74,63,1.04,50,62,0.2
Willie Gates,Whoop Ass,12,7,0,,68,125,70,Orthodox,1987-01-21,1.80,38,4.28,38,0.00,0,67,0.4
Louis Gaudinot,Goodnight,6,4,0,1,63,125,63,Orthodox,1984-08-28,2.34,37,6.42,48,0.57,40,31,1.1
Charlene Gellner,Princess,0,2,0,,62,125,,,,2.01,42,3.24,43,0.00,0,0,1.7
Chad George,Savage,13,6,0,,66,135,68,Southpaw,1982-04-30,1.26,50,1.11,65,3.08,46,0,1.3
Paul Georgieff,,6,2,0,,74,170,,Orthodox,1982-09-22,2.55,40,2.34,35,0.00,0,0,0.0
Brian Geraghty,Duke,24,17,1,,67,155,,Orthodox,1980-11-04,0.47,25,9.77,36,0.00,0,50,0.0
Derek Getzel,The Pretzel,3,2,0,,72,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Darrel Gholar,,5,6,0,,68,194,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Tiki Ghosn,,10,7,1,,70,170,,Orthodox,1977-02-09,2.78,46,2.94,58,0.41,50,61,0.0
Christos Giagos,The Spartan,11,4,0,,70,155,71,Orthodox,1990-01-23,2.16,38,1.68,47,0.65,20,37,0.7
Nick Gibbons,,2,1,0,,70,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
James Giboo,,13,5,0,,71,170,,Orthodox,1978-01-06,1.20,27,7.08,39,0.00,0,0,0.0
Lance Gibson,Fearless,4,5,0,,69,185,,Orthodox,1970-11-20,1.21,75,6.44,20,0.00,0,0,0.0
Lee Gibson,Lethal,12,3,0,,67,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Cody Gibson,The Renegade,12,6,0,,70,135,71,Orthodox,1987-09-11,2.47,31,2.54,63,1.85,38,58,0.4
Kenny Giddens,,12,7,0,,71,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Joe Gigliotti,Capo,7,2,0,,71,185,69,Orthodox,1993-08-13,1.04,39,2.92,45,1.56,100,50,0.8
Joey Gilbert,,2,3,0,,71,155,,Orthodox,1976-06-05,0.61,42,4.44,31,0.00,0,0,0.0
Kultar Gill,Black Mamba,10,8,0,,72,154,,Orthodox,1979-03-24,1.14,50,0.40,41,1.71,66,38,0.0
Jesse Gillespie,,3,2,0,,,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Gregor Gillespie,The Gift,8,0,0,,69,155,71,Orthodox,1986-11-13,2.73,45,2.87,57,5.00,26,0,0.0
Jason Gilliam,,14,5,0,,72,170,,Orthodox,,0.79,33,3.14,42,0.00,0,0,0.0
Krishaun Gilmore,,0,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Bob Gilstrap,,5,6,0,,75,200,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Demetrius Gioulacos,,0,1,0,,71,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Billy Giovanella,Wolverine,9,4,0,,68,125,,,1985-08-20,1.27,40,2.02,52,0.87,12,100,1.7
He-Man Gipson,,1,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Israel Giron,El Rojo,18,4,0,,68,155,,,1974-01-16,0.00,0,0.00,0,0.00,0,0,0.0
Brandon Girtz,Cold Roll,13,4,0,,67,155,,,1985-03-06,2.50,60,1.92,47,5.76,100,100,0.0
Jason Glaza,,2,2,0,,72,230,,,,4.34,54,0.43,40,4.34,100,0,4.3
Mike Glenn,,5,6,0,,,205,,,1977-10-09,0.00,0,0.00,0,0.00,0,0,0.0
Rick Glenn,The Gladiator,19,4,1,,72,155,70,Southpaw,1989-04-12,3.67,40,6.47,49,0.00,0,72,0.0
Mark Godbeer,The Hand Of,11,3,0,,76,240,77,Orthodox,1983-11-22,2.21,45,1.32,72,0.00,0,0,0.0
Clint Godfrey,,12,3,0,,66,135,,Southpaw,1982-10-21,0.57,31,0.96,65,0.85,25,50,0.0
Jason Godsey,,16,16,0,,74,230,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Allan Goes,,10,5,2,,72,205,,Orthodox,1971-04-20,0.64,52,1.35,41,1.75,40,0,2.6
Jonny Goh,,3,4,0,,71,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Sergio Gomez,,10,3,0,,66,155,,Orthodox,1982-04-29,1.50,42,1.16,56,2.57,66,31,0.0
Frank Gomez,,10,4,0,,70,135,67,Orthodox,1986-03-31,1.52,48,0.79,66,1.14,60,70,0.8
Alan Gomez,,2,0,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
David Gomez,,1,2,0,,,155,,,1983-08-08,0.00,0,0.00,0,0.00,0,0,0.0
Ulysses Gomez,Useless,9,4,0,,66,125,66,Orthodox,1983-05-25,2.72,25,3.57,68,0.00,0,0,0.0
Joey Gomez,KO King,6,2,0,,70,135,73,Orthodox,1986-07-21,2.44,28,4.46,55,0.62,100,50,0.0
Takanori Gomi,The Fireball Kid,35,12,0,1,67,155,70,Southpaw,1978-09-22,3.85,41,3.47,60,1.25,65,63,0.8
Akihiro Gono,,32,16,7,,67,170,68,Switch,1974-10-07,2.18,48,2.67,63,1.01,84,46,0.5
Gabriel Gonzaga,Napao,17,11,0,,74,242,76,Orthodox,1979-05-18,2.12,45,2.94,57,2.80,39,66,1.1
Fernando Gonzalez,The Menifee Maniac,19,11,0,,69,170,68,Southpaw,1983-09-15,4.18,44,4.22,65,0.60,25,43,1.5
Nick Gonzalez,The Ghost,17,9,0,1,66,155,,Orthodox,1981-03-03,0.59,20,2.35,33,0.00,0,50,0.0
Fabian Gonzalez,,2,1,0,,70,135,,,,3.90,48,4.39,51,0.00,0,66,0.0
Lewis Gonzalez,Lethal,10,2,0,,70,170,73,Orthodox,1987-09-19,1.40,37,1.87,41,2.00,33,62,0.0
Jason Gonzalez,Nicoya,11,3,0,,74,155,74,Southpaw,1990-02-28,2.48,29,3.72,55,0.00,0,50,2.6
Kier Gooch,,2,7,0,,,155,,,1986-04-21,0.00,0,0.00,0,0.00,0,0,0.0
Lyman Good,Cyborg,19,3,0,1,72,170,74,Orthodox,1985-05-26,6.38,51,2.32,79,0.00,0,0,0.0
Gary Goodridge,Big Daddy,23,22,1,,75,249,,Orthodox,1966-01-17,1.84,56,2.14,48,0.40,100,53,0.8
Jordan Goodwin,,0,0,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Gerard Gordeau,,2,2,0,,77,216,,Orthodox,1959-03-30,0.00,0,0.00,0,0.00,0,0,0.0
Eddie Gordon,Truck,8,4,0,,72,185,76,Orthodox,1983-07-22,2.03,32,2.57,60,1.93,83,63,0.0
Tim Gorman,The Psycho,9,4,0,,65,135,68,Southpaw,1983-04-29,2.73,31,5.57,46,1.00,9,33,0.0
Chase Gormley,,7,4,0,1,75,265,,Orthodox,,3.60,42,6.03,44,3.12,42,0,1.0
Jonathan Goulet,The Road Warrior,23,12,0,1,72,170,73,Orthodox,1979-07-13,1.61,41,2.00,46,4.17,70,45,0.6
Thibault Gouti,GT,11,3,0,,70,155,72,Orthodox,1987-02-27,2.28,38,4.63,37,0.00,0,62,0.0
Wilson Gouveia,,12,8,0,,73,185,76,Orthodox,1978-10-03,3.02,39,4.06,56,0.90,66,57,2.2
Todd Gouwenberg,,9,5,0,,73,205,,Orthodox,1974-09-25,0.52,23,2.93,42,1.57,33,50,0.0
Hugo Govea,,0,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Justin Governale,The Therapist,4,2,0,,,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Damian Grabowski,The Polish Pitbull,20,4,0,,73,241,,Orthodox,1980-05-12,0.79,33,9.14,50,0.00,0,0,0.0
Royce Gracie,,14,2,3,,73,175,,Southpaw,1966-12-12,0.88,41,1.13,37,0.00,0,66,0.8
Crosley Gracie,,2,2,0,,69,190,,Orthodox,1979-07-18,1.69,37,1.54,60,3.46,85,50,0.6
Daniel Gracie,,5,4,1,,74,225,,Orthodox,,1.90,38,1.33,59,0.36,100,80,2.1
Ralph Gracie,,6,1,0,,69,183,,Orthodox,,0.86,37,1.72,31,0.00,0,25,4.0
Renzo Gracie,,14,6,1,1,70,185,,Orthodox,1967-03-11,1.71,41,1.67,55,1.13,20,40,0.8
Rickson Gracie,,11,0,0,,70,185,,Switch,1958-11-20,0.00,0,0.00,0,0.00,0,0,0.0
Rodrigo Gracie,,6,2,1,,72,183,,Orthodox,1975-04-11,1.34,51,0.86,46,1.49,50,75,0.4
Royler Gracie,,5,5,1,,68,150,,Southpaw,1965-12-06,0.00,0,0.00,0,0.00,0,0,0.0
Ryan Gracie,,5,2,0,,69,200,,Orthodox,1974-08-14,0.82,61,0.50,40,2.83,75,25,0.9
Ralek Gracie,,3,0,0,,74,210,,Orthodox,1985-10-04,1.61,46,1.05,55,2.50,75,0,1.7
Rolles Gracie,,5,1,0,,76,242,,Orthodox,1978-07-14,2.30,32,3.38,55,2.30,10,0,0.0
Cesar Gracie,,0,1,0,,70,181,,Orthodox,,0.00,0,17.14,50,0.00,0,0,0.0
Roger Gracie,,6,2,0,,76,185,79,Orthodox,1981-09-26,1.78,35,1.79,61,1.87,53,60,1.9
Igor Gracie,,4,2,0,,71,170,,,1980-02-04,1.86,60,0.99,50,3.72,50,0,3.7
Neiman Gracie,,3,0,0,,72,170,,,,0.77,100,0.38,75,5.77,100,0,5.8
Steven Graham,,2,1,0,,73,290,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Scott Graham,,3,1,0,,76,185,,Orthodox,,0.91,42,2.27,28,0.00,0,0,0.0
TJ Grant,,21,5,0,,70,155,72,Orthodox,1984-02-26,3.95,54,3.21,56,1.63,43,36,0.6
Davey Grant,Dangerous,10,3,0,,68,135,69,,1985-12-18,3.59,53,1.37,69,1.28,30,64,0.0
Alexa Grasso,,9,1,0,,65,115,66,Orthodox,1993-08-09,4.83,42,3.33,69,0.50,50,75,0.5
Michael Graves,,6,0,1,,70,170,71,,1991-01-08,1.25,54,1.47,58,4.80,52,66,0.4
Sam Greco,,3,1,1,,74,205,,Orthodox,1967-05-03,2.40,75,1.33,53,0.00,0,25,1.0
Bobby Green,King,23,7,0,,70,155,71,Orthodox,1986-09-09,4.38,48,3.16,66,1.22,33,81,0.3
Matt Grice,The Real One,15,5,0,,68,145,70,Orthodox,1981-07-29,4.09,53,2.69,56,2.19,37,82,0.5
Forrest Griffin,,19,7,0,,75,205,77,Orthodox,1979-03-16,4.38,36,2.81,61,1.05,48,57,0.7
Tyson Griffin,,15,6,0,,66,145,68,Orthodox,1984-04-20,3.71,41,2.30,65,1.87,46,59,0.9
Max Griffin,Pain,13,3,0,,71,170,76,Orthodox,1985-11-29,2.12,43,2.20,45,0.00,0,33,1.1
Chad Griggs,The Grave Digger,11,3,0,,73,205,73,Orthodox,1978-05-15,2.67,50,2.22,46,1.51,66,41,0.0
Chuck Grigsby,The Reverend,19,8,0,,78,205,,Orthodox,,0.71,16,3.29,46,0.00,0,66,0.0
Rodrigo Gripp de Sousa,Riscado,7,9,0,,71,205,,Orthodox,,0.48,23,4.81,52,0.00,0,0,9.6
Josh Grispi,The Fluke,14,5,0,,71,145,74,Orthodox,1988-10-14,1.44,41,3.71,50,1.97,36,16,2.2
Garrett Gross,,7,4,0,,72,155,,,1988-08-08,2.50,42,0.87,61,0.00,0,57,0.0
Kendall Grove,Da Spyder,13,10,0,1,78,185,79,Orthodox,1982-11-12,2.31,41,2.40,54,0.49,45,56,1.7
Neil Grove,Goliath,11,5,1,,78,265,,Orthodox,1971-01-18,0.00,0,0.00,0,0.00,0,100,14.3
Chris Gruetzemacher,Gritz,13,2,0,,68,155,68,Orthodox,1986-06-16,5.95,58,5.22,52,0.00,0,69,0.0
Vik Grujic,The Spartan,7,6,0,,71,170,73,Orthodox,1977-02-06,2.24,48,3.39,41,1.18,33,26,0.4
Nandor Guelmino,The Hun,11,5,1,,75,230,76,,1975-12-20,3.62,56,3.16,33,0.00,0,42,0.0
Fabricio Guerreiro,,20,4,0,1,70,145,,,1990-07-24,1.87,31,2.20,67,2.00,50,0,0.0
Shannon Gugerty,,14,6,0,,70,155,71,Orthodox,1981-12-30,1.25,39,1.88,58,2.13,27,50,3.4
Clay Guida,The Carpenter,32,14,0,,67,145,70,Orthodox,1981-12-08,2.25,31,2.44,65,3.53,38,69,0.8
Melvin Guillard,The Young Assassin,48,15,3,2,69,155,68,Orthodox,1983-03-30,2.96,40,1.85,66,1.30,63,61,0.2
Chris Guillen,,13,12,0,,72,240,,Orthodox,1972-12-09,0.82,27,1.91,36,0.00,0,0,0.0
Marcelo Guimaraes,Magrao,9,2,1,,72,185,73,Orthodox,1983-06-25,4.67,51,4.41,62,1.99,13,0,0.0
Leonardo Augusto Leleco,Leleco,11,3,0,1,72,185,73,Orthodox,1982-04-15,2.35,56,2.99,44,0.00,0,52,1.0
Brad Gumm,,10,6,1,1,71,170,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
John Gunderson,Quick Guns,32,12,2,,69,155,69,Orthodox,1979-01-05,1.04,27,1.71,58,1.67,33,11,2.0
Jorge Gurgel,,14,9,0,,67,155,69,Orthodox,1977-01-25,3.37,32,3.62,62,0.81,23,60,0.5
Fabio Gurgel,,3,2,0,,72,205,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Andre Gusmao,,6,3,0,,72,205,,Orthodox,1977-05-19,2.79,43,3.28,60,0.00,0,60,0.0
Alexander Gustafsson,The Mauler,17,4,0,,77,205,79,Orthodox,1987-01-15,4.12,40,3.63,50,1.93,40,86,0.6
Justin Guthrie,,18,8,0,,73,170,,,1981-01-19,0.16,33,3.74,14,2.44,25,0,4.9
Horacio Gutierrez,The Punisher,3,3,0,,70,145,69,,1990-09-15,0.86,26,2.91,46,0.00,0,50,0.0
Mike Guymon,The Joker,12,5,1,,72,170,74,Orthodox,1974-09-17,2.75,65,0.79,66,1.87,37,54,1.2
Keith Hackney,The Giant Killer,2,2,0,,71,200,,Sideways,,0.00,0,0.00,0,0.00,0,0,0.0
Steve Hadsel,,3,0,0,,68,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Damir Hadzovic,The Bosnian Bomber,10,3,0,,69,155,70,Orthodox,1986-08-08,2.95,25,6.70,57,0.00,0,0,0.0
Tim Hague,The Trashing Machine,13,5,0,,76,260,76,Orthodox,1983-05-09,2.79,47,4.14,46,1.72,33,85,0.9
Stoney Hale,The Skuller,4,2,0,,72,,,,1979-10-18,0.00,0,0.00,0,0.00,0,0,0.0
Kevin Haley,The North Woods Nightmare,4,3,0,,74,205,,,,0.87,59,0.87,64,3.00,100,0,2.0
Mark Hall,,5,6,0,,72,190,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Uriah Hall,Prime Time,13,8,0,,72,185,79,Orthodox,1984-07-31,3.11,52,2.95,55,1.07,41,72,0.3
Ryan Hall,The Wizard,6,1,0,,70,145,71,,1985-02-22,2.30,43,0.47,73,0.50,20,0,0.5
Dennis Hallman,Superman,67,14,2,1,69,155,72,Orthodox,1975-12-02,1.12,44,1.96,43,1.79,30,25,2.1
Piotr Hallmann,Pletwal,15,5,0,,69,155,71,Orthodox,1987-08-25,3.98,45,3.17,58,2.55,44,70,0.4
Tony Halme,,0,4,0,,75,300,,Orthodox,1963-01-06,0.00,0,0.00,0,0.00,0,0,0.0
Brandon Halsey,Bull,9,1,0,,72,185,,,1986-09-16,1.74,47,0.87,65,4.98,53,100,1.2
John Halverson,The Hurricane,16,7,0,1,69,155,,Southpaw,1972-09-08,2.94,43,5.29,47,0.00,0,66,2.0
Seohee Ham,,16,8,0,,62,115,62,Southpaw,1987-03-08,4.20,39,5.15,61,0.00,0,66,0.2
Frank Hamaker,,1,0,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Kazuhiro Hamanaka,,5,7,1,,72,185,,Southpaw,1978-10-24,1.70,37,0.91,60,0.00,0,50,0.0
Matt Hamill,The Hammer,12,5,0,,73,205,76,Orthodox,1976-10-05,3.69,42,3.80,61,3.00,34,91,0.0
Jeremy Hamilton,Hawk,8,1,0,,,185,,,1984-11-14,0.00,0,0.00,0,0.00,0,0,0.0
Anthony Hamilton,Freight Train,15,7,0,,77,260,76,Orthodox,1980-04-14,4.51,67,3.01,42,2.84,52,83,0.0
Jared Hamman,The Messenger,13,6,0,,75,185,75,Orthodox,1982-03-07,5.15,42,3.93,55,1.57,46,30,0.0
